,tick,all_return_1d,all_return_1d_enhanced,all_return_1d_enhanced_return,all_return_1d_enhanced_return_compound,all_return_1d_enhanced_return_compound_ls,all_return_1d_enhanced_return_ls,all_return_1d_return,all_return_1d_return_compound,all_return_1d_return_compound_ls,all_return_1d_return_ls,all_return_20d,all_return_20d_enhanced,all_return_5d,all_return_5d_enhanced,index_return_1d,index_return_1d_enhanced,index_return_1d_enhanced_return,index_return_1d_enhanced_return_compound,index_return_1d_enhanced_return_compound_ls,index_return_1d_enhanced_return_ls,index_return_1d_return,index_return_1d_return_compound,index_return_1d_return_compound_ls,index_return_1d_return_ls,index_return_20d,index_return_20d_enhanced,index_return_5d,index_return_5d_enhanced,industry_return_1d,industry_return_1d_enhanced,industry_return_1d_enhanced_return,industry_return_1d_enhanced_return_compound,industry_return_1d_enhanced_return_compound_ls,industry_return_1d_enhanced_return_ls,industry_return_1d_return,industry_return_1d_return_compound,industry_return_1d_return_compound_ls,industry_return_1d_return_ls,industry_return_20d,industry_return_20d_enhanced,industry_return_5d,industry_return_5d_enhanced,return_1d,return_1d_enhanced,return_1d_enhanced_return,return_1d_enhanced_return_compound,return_1d_enhanced_return_compound_ls,return_1d_enhanced_return_ls,return_1d_return,return_1d_return_compound,return_1d_return_compound_ls,return_1d_return_ls,return_20d,return_20d_enhanced,return_5d,return_5d_enhanced
0,603701.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,688108.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,600089.SH,0.5456,0.5882,-0.036735324711356446,0.9518271081690728,1.0080523201679141,0.022059341493399817,-0.20493696247494975,0.7736637485466146,0.842973134574977,-0.1147734583783249,0.5538,0.4801,0.5335,0.4936,0.5619,0.6356,-0.04862226827575331,0.942647043873198,1.060341027024922,0.07076125075976104,-0.13333511873233952,0.8308542865793838,0.9727947975715783,0.02843022910689559,0.5517,0.4801,0.5335,0.4936,0.5477,0.568,-0.0724136432137297,0.9196797066320983,0.8986460344586032,-0.09502704237335313,-0.2206301754094203,0.7593597954813284,0.8169297000282016,-0.14615988424726598,0.5517,0.453,0.5112,0.4665,0.5398,0.638,0.28205295272585146,1.3128658388525885,1.6568082558862514,0.521462869497837,-0.0324832535733362,0.9400611794809135,1.1903719516972442,0.23013395942490214,0.4122,0.551,0.4948,0.5292
3,000832.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,600455.SH,0.5112,0.5544,0.3822254945013456,1.4105816456624947,1.2975169944038212,0.3696173938516656,0.3584007306235777,1.2558164216776653,1.04909063450284,0.28753476064489314,0.5314,0.6423,0.501,0.6897,0.5112,0.5544,0.3822254945013456,1.4105816456624947,1.2975169944038212,0.3696173938516656,0.3584007306235777,1.2558164216776653,1.04909063450284,0.28753476064489314,0.5294,0.6288,0.501,0.6897,0.5517,0.5003,0.12434306665031702,1.0970715104845605,0.7612831889443222,-0.15383203257988728,0.3276560938792926,1.2601356030337112,0.9858926771055493,0.22604548715632317,0.5943,0.6153,0.5416,0.6829,0.4979,0.5256,0.07453726863431726,1.0745372686343173,0.8777965557460751,-0.012131957874116306,0.07453726863431726,1.0745372686343173,0.5939266211408478,-0.2801921633336275,0.5427,0.4065,0.4929,0.5612
5,600103.SH,0.5497,0.5612,-0.0018652862402345899,0.9855326514993067,0.9975988398610769,0.020397458420232176,-0.19155188373513565,0.7800437769546663,0.8025421431265353,-0.14529482254034826,0.5254,0.5815,0.5436,0.5477,0.5233,0.5882,-0.046038260427335644,0.941237329843182,1.0174819986834593,0.04289190320103155,-0.13939146973021413,0.825579056127025,0.8908892928778006,-0.04097399453050518,0.5254,0.5815,0.5436,0.5477,0.5497,0.5477,0.15814440399414642,1.1552244360030488,1.2507332391850539,0.24778242709271475,-0.19576312811576363,0.7797373144581848,0.7959444337329672,-0.15371731130160435,0.6166,0.5341,0.5172,0.5882,0.5257,0.5452,0.10187110787858987,1.0963105166044191,1.2429010094044144,0.24219179987145775,-0.0012678126369660304,0.9711495413094772,1.1744869151032638,0.23527331965599102,0.5814,0.7423,0.5425,0.581
6,603029.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,000983.SZ,0.5322,0.5653,-0.05212896360100924,0.9280030747383387,1.040098730839377,0.07062821829184572,-0.25049950512970404,0.7178663647033973,0.9246183137324876,0.02452826275124831,0.4678,0.6108,0.5497,0.5588,0.5322,0.5653,-0.05212896360100924,0.9280030747383387,1.040098730839377,0.07062821829184572,-0.25049950512970404,0.7178663647033973,0.9246183137324876,0.02452826275124831,0.4678,0.6108,0.5673,0.5393,0.5244,0.5588,-0.01326118745912433,0.9664626484597133,1.092140688796844,0.11154056442042662,-0.3286165577399176,0.659013297981405,0.7907189648241667,-0.13170584246917888,0.5244,0.6238,0.5146,0.5198,0.5101,0.5376,0.05766015634636376,1.026657923295961,1.1851883433437802,0.20699576204541426,-0.09073787276411278,0.839165223052094,1.2722800524657094,0.34405152748243084,0.4232,0.4987,0.4711,0.479
8,600099.SH,0.5051,0.5477,0.1185746502340855,1.1074618267664977,1.6440851257972253,0.5539217768807705,-0.26854114189811085,0.7028550304433367,0.5919516932429286,-0.34808024760742096,0.503,0.4057,0.5456,0.6356,0.5051,0.5477,0.1185746502340855,1.1074618267664977,1.6440851257972253,0.5539217768807705,-0.26854114189811085,0.7028550304433367,0.5919516932429286,-0.34808024760742096,0.501,0.4057,0.57,0.5544,0.5132,0.6153,0.24761987751307574,1.2539396697161023,1.8196384111478219,0.6610737584052747,-0.1269029392309789,0.8125797888946217,0.7860590628444547,-0.06480384227315739,0.503,0.4665,0.5497,0.5747,0.5309,0.597,0.13766362850890285,1.1182715813990538,1.7435606344070718,0.6246931940042588,0.06826695881241085,0.9722459033054935,1.1626988002852967,0.32553595381362244,0.4918,0.4558,0.4898,0.5464
9,000412.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
